ID_Transaksi,Umur_Pelanggan,Pendapatan_Bulanan,Jumlah_Item,Total_Belanja,Kategori_Produk
1,55,9296991,2,160572,Elektronik
2,45,11351060,6,2919206,Elektronik
3,31,6783725,1,2286149,Makanan
4,59,12159002,1,1888115,Elektronik
5,24,8671203,5,2233540,Fashion
6,37,14525333,9,2767159,Elektronik
7,55,4750025,8,1912625,Makanan
8,35,9785446,3,886507,Fashion
9,39,12478542,3,1749862,Fashion
10,27,7735630,1,859063,Elektronik
11,27,4926979,3,697408,Fashion
12,40,4514399,1,2864956,Elektronik
13,52,14184438,8,1982166,Elektronik
14,56,2955205,1,2656952,Makanan
15,40,8666199,5,451099,Fashion
16,19,12511699,9,1246845,Elektronik
17,38,2966649,7,2037214,Elektronik
18,18,9493971,4,2180702,Elektronik
19,40,6980939,9,326786,Fashion
20,60,11322656,9,2777533,Fashion
21,46,13419163,2,467799,Fashion
22,54,12252679,6,1359764,Elektronik
23,18,9576126,4,653826,Fashion
24,37,11816597,8,374158,Elektronik
25,49,12421317,7,2953107,Fashion
26,28,7061500,7,422429,Fashion
27,38,3200532,9,2873055,Elektronik
28,60,9496287,5,680167,Fashion
29,41,7193378,6,140629,Elektronik
30,43,2464462,1,2133958,Fashion
31,58,13380228,6,2486126,Fashion
32,44,6868923,2,1406258,Fashion
33,32,13388717,6,2456606,Fashion
34,31,13961009,9,1213842,Makanan
35,63,12833583,8,1286938,Elektronik
36,60,13660165,9,496850,Makanan
37,19,9930221,8,2946283,Fashion
38,53,8010554,3,1329817,Fashion
39,23,12661367,8,1349825,Elektronik
40,37,6603623,6,2214064,Elektronik
41,25,9962366,6,129183,Elektronik
42,55,12837916,6,110282,Elektronik
43,34,14136902,3,2205401,Fashion
44,20,2274535,1,1661040,Elektronik
45,41,13636812,4,582451,Makanan
46,30,7140709,6,173844,Elektronik
47,25,4480017,2,2513883,Elektronik
48,42,6816129,7,805640,Makanan
49,18,10207623,7,2481275,Makanan
50,36,14519754,4,2750300,Makanan
51,44,2917472,4,1250791,Makanan
52,63,12667189,1,2121979,Elektronik
53,23,5649279,2,2132655,Makanan
54,60,12393125,9,2971580,Fashion
55,24,7016239,8,2503367,Elektronik
56,63,12450970,8,2194404,Fashion
57,51,14021011,9,506395,Elektronik
58,30,5221131,7,1935243,Elektronik
59,33,12395946,9,2499842,Fashion
60,52,10977182,2,2540388,Makanan
61,56,4434138,6,962234,Makanan
62,20,10493535,3,2517717,Fashion
63,18,12238524,6,2956809,Makanan
64,22,12971593,3,2346397,Elektronik
65,58,9783874,8,1597840,Elektronik
66,20,8590828,4,1183909,Elektronik
67,45,6217690,6,322951,Makanan
68,34,5649886,9,1050778,Makanan
69,42,7533326,2,768525,Fashion
70,60,6446460,2,2922325,Elektronik
71,50,9293708,7,2155534,Fashion
72,26,7044080,2,566243,Makanan
73,52,2953122,2,1594449,Fashion
74,30,14432371,4,589353,Makanan
75,47,6663754,9,2494766,Elektronik
76,64,6517562,8,2161577,Elektronik
77,31,8540180,2,2946695,Makanan
78,24,12686962,8,1270447,Makanan
79,30,10503197,4,2724697,Makanan
80,39,3193982,2,1815113,Elektronik
81,56,11007611,7,2012821,Makanan
82,37,10582447,6,2490342,Elektronik
83,32,8654754,5,874283,Fashion
84,61,2506453,1,1631680,Elektronik
85,34,13436197,2,1569645,Fashion
86,63,8548894,8,52175,Elektronik
87,40,13315661,1,1372061,Elektronik
88,42,12912663,3,2997492,Makanan
89,41,13378801,2,2336113,Elektronik
90,61,4507743,5,395259,Makanan
91,57,3555811,4,2439490,Makanan
92,45,7077198,7,478053,Makanan
93,31,12044650,5,608867,Elektronik
94,61,8184377,8,1195130,Makanan
95,17,5845474,4,2819067,Fashion
96,41,5924482,6,2721217,Fashion
97,23,5232452,4,1497698,Elektronik
98,25,6947796,2,90751,Makanan
99,40,6290697,1,1299247,Fashion
100,17,14134936,1,1207326,Elektronik
101,60,14550211,8,2910426,Elektronik
102,24,12298940,4,254750,Elektronik
103,40,8886940,5,2683004,Elektronik
104,27,14128638,8,679443,Elektronik
105,33,12887186,7,1038144,Makanan
106,24,5812010,8,2567667,Makanan
107,51,3478081,8,1089535,Makanan
108,51,3570889,6,1539750,Makanan
109,49,9373372,2,2334302,Elektronik
110,21,12787754,6,847634,Elektronik
111,58,5071640,1,421551,Fashion
112,55,11934099,1,2058265,Fashion
113,57,7253974,3,1757621,Makanan
114,44,12311575,3,1141213,Elektronik
115,23,2950922,5,723726,Fashion
116,25,3684449,1,1965954,Fashion
117,24,10854198,6,2064319,Fashion
118,28,7753371,7,205647,Fashion
119,50,3433284,3,2450526,Makanan
120,49,3117374,4,1833360,Elektronik
121,64,4999610,3,1049767,Makanan
122,39,4298756,1,2533382,Fashion
123,40,9100052,8,1228102,Fashion
124,53,4788107,2,511833,Elektronik
125,51,10418865,1,728381,Elektronik
126,60,6601731,8,1507449,Makanan
127,56,9173877,7,1100108,Elektronik
128,38,2985257,7,2666670,Makanan
129,43,3101267,4,1804741,Makanan
130,51,12444453,9,1180127,Fashion
131,17,2418829,6,2315980,Makanan
132,51,13024074,2,2253886,Fashion
133,53,9040906,1,950429,Makanan
134,63,5438780,1,780002,Makanan
135,30,14503953,9,1001710,Elektronik
136,19,9517750,4,888600,Elektronik
137,17,3546933,5,163123,Fashion
138,21,10713937,3,2877700,Elektronik
139,42,4956151,4,1789783,Makanan
140,30,3227222,8,2776039,Fashion
141,55,13756459,4,1379362,Fashion
142,43,3543812,9,1347327,Fashion
143,25,9831038,9,1135085,Makanan
144,31,8835032,6,885669,Elektronik
145,31,2865256,2,720774,Fashion
146,42,9948745,7,1948184,Makanan
147,58,2000917,9,1227209,Elektronik
148,29,9304000,6,916297,Elektronik
149,48,9150406,3,1740045,Fashion
150,55,9068931,7,636347,Makanan
151,48,6473447,5,361294,Elektronik
152,20,10650699,1,1663955,Makanan
153,46,10791765,3,2351348,Elektronik
154,53,8876913,5,2148055,Fashion
155,39,8139996,7,1339600,Fashion
156,55,9557773,3,890667,Elektronik
157,61,10637873,6,2336789,Makanan
158,31,9737777,5,2988926,Elektronik
159,59,9554159,1,1272371,Makanan
160,45,8565792,6,1134148,Elektronik
161,52,3384822,8,1919060,Fashion
162,29,3807402,1,399207,Makanan
163,48,3949902,2,2569379,Fashion
164,23,11523979,4,671828,Makanan
165,38,9505191,2,103533,Elektronik
166,44,10717429,9,2826576,Fashion
167,18,11048595,8,2008997,Fashion
168,58,2243877,8,2930337,Makanan
169,61,5345026,4,1279229,Makanan
170,22,11936027,5,1218964,Makanan
171,44,2920759,4,1913710,Fashion
172,44,3761369,9,1222058,Elektronik
173,60,13636748,2,845063,Makanan
174,60,7786572,8,1747662,Elektronik
175,36,12602305,2,1692907,Makanan
176,46,11855780,1,1882723,Elektronik
177,27,9562160,3,1542305,Makanan
178,44,10386369,9,2800454,Elektronik
179,41,3858997,3,163076,Fashion
180,55,6980249,9,2868710,Makanan
181,49,11807434,7,1170368,Makanan
182,17,14869575,1,2568800,Fashion
183,43,6975467,5,2906113,Makanan
184,29,3429290,9,845005,Makanan
185,57,7188757,3,901728,Fashion
186,19,4120711,9,1767436,Fashion
187,55,2521244,5,377985,Elektronik
188,22,8271271,9,1644745,Fashion
189,24,3399769,6,906665,Fashion
190,43,12883997,9,1805478,Makanan
191,25,8913744,7,639573,Fashion
192,53,7919359,7,1158123,Makanan
193,49,10876659,8,1816087,Fashion
194,58,2825782,7,2809734,Fashion
195,60,2439439,9,2105852,Elektronik
196,40,14006205,9,815127,Fashion
197,31,14998378,6,1721570,Fashion
198,48,3264134,7,2618805,Makanan
199,48,8767567,2,2023020,Makanan
200,40,7759919,9,1467119,Elektronik
201,57,3894554,1,371289,Fashion
202,28,7855319,1,2321834,Makanan
203,55,9605503,3,1418240,Fashion
204,18,9984638,6,1627408,Elektronik
205,19,2947272,5,1058358,Makanan
206,53,6914082,2,2988396,Makanan
207,33,7730482,9,1007122,Elektronik
208,18,13520211,4,1984062,Fashion
209,18,7941028,4,2041524,Makanan
210,44,14174569,5,1024090,Makanan
211,39,8600430,8,2541985,Elektronik
212,53,8343902,4,309711,Elektronik
213,48,5119734,5,675122,Elektronik
214,49,9748408,4,2187154,Fashion
215,17,2711943,6,305549,Fashion
216,35,12625908,3,1031124,Fashion
217,18,14613997,8,1841624,Elektronik
218,60,4621158,6,532843,Makanan
219,42,9730484,5,2540879,Fashion
220,48,13540086,2,424994,Elektronik
221,22,8143243,7,1752875,Fashion
222,48,4438064,2,2840362,Makanan
223,20,7754640,1,2792988,Makanan
224,27,6230207,7,2445540,Elektronik
225,33,7446441,5,1828650,Makanan
226,54,3998173,1,2849045,Elektronik
227,40,7858204,4,320640,Elektronik
228,21,6706797,4,1219098,Elektronik
229,50,13961866,7,455486,Elektronik
230,22,3490017,9,2878520,Makanan
231,38,5102641,2,2430020,Makanan
232,27,11258054,1,2439712,Makanan
233,64,2641593,2,1658439,Makanan
234,32,14039969,7,524406,Elektronik
235,49,11855738,6,1699478,Elektronik
236,25,3534227,4,1192142,Makanan
237,22,4297905,1,1350637,Fashion
238,32,14615013,1,2033488,Fashion
239,45,6197079,5,451914,Fashion
240,19,4587551,1,1300040,Makanan
241,36,6109070,7,1846999,Elektronik
242,52,13786724,1,1006996,Elektronik
243,35,12898515,1,2715074,Fashion
244,42,3806210,2,87355,Fashion
245,19,5989284,3,1136266,Elektronik
246,35,8356605,1,790174,Fashion
247,36,10415224,9,253811,Fashion
248,48,14531495,8,1679494,Elektronik
249,23,6940359,5,229243,Fashion
250,57,11622823,2,1644522,Fashion
251,49,5838187,5,2664348,Makanan
252,56,6401207,6,1618333,Fashion
253,55,8091111,1,327941,Makanan
254,34,3038218,4,2992383,Elektronik
255,56,10740973,9,2900854,Makanan
256,17,9192767,2,2112574,Elektronik
257,27,12773383,5,1412956,Makanan
258,44,6109404,1,580553,Makanan
259,41,10749917,4,1618911,Makanan
260,39,6250167,4,1301782,Fashion
261,47,5318843,6,2116799,Fashion
262,46,12306185,9,496710,Fashion
263,58,12981414,3,2531050,Fashion
264,51,11940507,9,1019772,Fashion
265,23,11166243,6,1780934,Makanan
266,32,11101948,7,1190002,Fashion
267,42,9291916,2,2077419,Elektronik
268,64,2278495,6,1506098,Makanan
269,18,13669539,6,2659085,Makanan
270,17,11219865,2,880258,Elektronik
271,64,3846357,2,147375,Fashion
272,28,12267870,2,1869941,Elektronik
273,21,14031935,1,2675823,Makanan
274,53,11711781,5,2239465,Makanan
275,48,7917054,8,2967945,Makanan
276,25,12110807,2,130294,Elektronik
277,57,13087742,5,2242209,Fashion
278,51,9880055,8,2298753,Makanan
279,35,5030486,5,1842563,Fashion
280,64,5980053,2,433829,Makanan
281,32,2700033,3,1592708,Fashion
282,19,7107742,6,2440228,Elektronik
283,36,9036278,5,2125713,Makanan
284,40,5901403,4,565303,Makanan
285,49,2134445,4,1362628,Makanan
286,40,14986463,5,1072762,Elektronik
287,27,3845700,2,2653857,Elektronik
288,24,10304831,9,1522150,Fashion
289,52,13055589,2,604700,Elektronik
290,54,8882727,2,2013327,Makanan
291,56,14209279,9,303928,Fashion
292,36,14475746,3,1310680,Elektronik
293,51,2871535,7,52928,Fashion
294,64,12172219,4,901590,Fashion
295,41,3742166,6,1260280,Fashion
296,51,3035408,4,82309,Makanan
297,41,3461312,7,845712,Makanan
298,45,12964214,1,90449,Elektronik
299,34,9627742,3,1054675,Makanan
300,62,7053929,3,863389,Fashion
301,34,10885048,1,1790831,Fashion
302,18,3471926,6,2764497,Makanan
303,51,11840745,9,2652226,Fashion
304,32,4873524,8,2824207,Makanan
305,57,4742455,7,649181,Fashion
306,52,4269409,8,1554915,Elektronik
307,49,8013704,6,2958760,Elektronik
308,20,12092428,9,723769,Makanan
309,49,2295599,3,2926976,Makanan
310,30,3557009,9,2990551,Makanan
311,37,2597904,4,1623851,Makanan
312,64,14146062,7,2070542,Makanan
313,36,2116841,9,2383844,Fashion
314,24,7907726,2,1586519,Elektronik
315,23,10558542,2,424494,Fashion
316,19,14311358,9,1951412,Elektronik
317,33,7826038,3,166751,Fashion
318,49,3135270,9,1804217,Fashion
319,64,2237068,5,2195383,Fashion
320,28,7024592,6,1782968,Makanan
321,38,14028296,2,1389025,Elektronik
322,38,14537895,8,2366400,Makanan
323,62,3604243,9,1219715,Makanan
324,46,2851161,2,1262250,Fashion
325,54,6772945,6,2918839,Elektronik
326,54,11093964,6,1638033,Elektronik
327,61,3638846,8,1124544,Elektronik
328,24,6230987,5,2351982,Elektronik
329,43,13648427,9,2007692,Makanan
330,43,11848018,1,2382008,Makanan
331,50,9870907,9,1161073,Elektronik
332,37,10713542,7,935686,Makanan
333,46,3802466,4,1691218,Elektronik
334,49,14210223,3,2183520,Makanan
335,44,4382865,6,94109,Fashion
336,63,11186191,1,1287293,Fashion
337,49,2464310,3,1024501,Elektronik
338,21,5714755,2,77426,Elektronik
339,64,10945850,9,954064,Makanan
340,35,5127640,3,2784077,Elektronik
341,20,11156831,2,1661887,Elektronik
342,51,6303677,4,1254540,Makanan
343,33,6098535,2,2660320,Elektronik
344,60,6753292,1,1717761,Elektronik
345,44,11560912,6,1026729,Fashion
346,46,8227952,8,721367,Fashion
347,45,12032517,2,1702641,Fashion
348,62,7673938,9,2192010,Elektronik
349,22,10009292,3,2061153,Makanan
350,51,7108728,8,919530,Fashion
351,57,7060795,8,506185,Elektronik
352,53,7769049,3,980569,Fashion
353,40,12387725,3,1139867,Makanan
354,45,2919134,6,1137381,Makanan
355,62,3855797,1,1197407,Makanan
356,47,8379515,4,2296667,Makanan
357,51,10078886,1,59290,Makanan
358,49,13318343,3,1444354,Makanan
359,37,6636440,9,1904080,Elektronik
360,48,8489759,5,879722,Fashion
361,39,10899770,5,135186,Makanan
362,49,4570725,4,1900123,Fashion
363,19,13799742,3,1628013,Fashion
364,34,4426277,5,2975576,Elektronik
365,41,9200987,4,2427012,Makanan
366,58,7324852,8,1636485,Makanan
367,47,7580509,4,835088,Elektronik
368,19,13589058,8,2058880,Elektronik
369,56,12667650,6,2071123,Elektronik
370,62,3317621,5,1915407,Elektronik
371,40,8408929,4,1403818,Elektronik
